geneSymbol,cellName,tissueType,cellType
ARHGAP23,Trophectoderm cell,Embryo,Normal cell
ATP6V0A4,Trophectoderm cell,Embryo,Normal cell
ATP6V1B1,Trophectoderm cell,Embryo,Normal cell
ATP8B1,Trophectoderm cell,Embryo,Normal cell
BASP1,Trophectoderm cell,Embryo,Normal cell
C4BPB,Trophectoderm cell,Embryo,Normal cell
CAST,Trophectoderm cell,Embryo,Normal cell
CITED4,Trophectoderm cell,Embryo,Normal cell
CLDN10,Trophectoderm cell,Embryo,Normal cell
CLDN3,Trophectoderm cell,Embryo,Normal cell
CYP26A1,Trophectoderm cell,Embryo,Normal cell
DAB2,Trophectoderm cell,Embryo,Normal cell
DNAJC6,Trophectoderm cell,Embryo,Normal cell
EFNA1,Trophectoderm cell,Embryo,Normal cell
ELOVL6,Trophectoderm cell,Embryo,Normal cell
EMP2,Trophectoderm cell,Embryo,Normal cell
ENPEP,Trophectoderm cell,Embryo,Normal cell
RFLNB,Trophectoderm cell,Embryo,Normal cell
FBXL18,Trophectoderm cell,Embryo,Normal cell
FHL2,Trophectoderm cell,Embryo,Normal cell
FRMD4B,Trophectoderm cell,Embryo,Normal cell
GAB2,Trophectoderm cell,Embryo,Normal cell
GALNT10,Trophectoderm cell,Embryo,Normal cell
GLIPR2,Trophectoderm cell,Embryo,Normal cell
GM2A,Trophectoderm cell,Embryo,Normal cell
GPRC5A,Trophectoderm cell,Embryo,Normal cell
GREB1L,Trophectoderm cell,Embryo,Normal cell
GRHL2,Trophectoderm cell,Embryo,Normal cell
LARGE2,Trophectoderm cell,Embryo,Normal cell
HSPB11,Trophectoderm cell,Embryo,Normal cell
JDP2,Trophectoderm cell,Embryo,Normal cell
LAD1,Trophectoderm cell,Embryo,Normal cell
LRP2,Trophectoderm cell,Embryo,Normal cell
LRRFIP1,Trophectoderm cell,Embryo,Normal cell
MYCT1,Trophectoderm cell,Embryo,Normal cell
MYLPF,Trophectoderm cell,Embryo,Normal cell
MYO6,Trophectoderm cell,Embryo,Normal cell
MYOF,Trophectoderm cell,Embryo,Normal cell
NIM1K,Trophectoderm cell,Embryo,Normal cell
NPC2,Trophectoderm cell,Embryo,Normal cell
OLFML1,Trophectoderm cell,Embryo,Normal cell
OSBPL6,Trophectoderm cell,Embryo,Normal cell
PALLD,Trophectoderm cell,Embryo,Normal cell
PDLIM1,Trophectoderm cell,Embryo,Normal cell
PIP5K1B,Trophectoderm cell,Embryo,Normal cell
PLAC8,Trophectoderm cell,Embryo,Normal cell
PPME1,Trophectoderm cell,Embryo,Normal cell
PPT1,Trophectoderm cell,Embryo,Normal cell
PRSS8,Trophectoderm cell,Embryo,Normal cell
PTGES,Trophectoderm cell,Embryo,Normal cell
PWWP2B,Trophectoderm cell,Embryo,Normal cell
RAB25,Trophectoderm cell,Embryo,Normal cell
S100A16,Trophectoderm cell,Embryo,Normal cell
SH3GL3,Trophectoderm cell,Embryo,Normal cell
SLC12A3,Trophectoderm cell,Embryo,Normal cell
SLC19A3,Trophectoderm cell,Embryo,Normal cell
SLC28A3,Trophectoderm cell,Embryo,Normal cell
SLC7A2,Trophectoderm cell,Embryo,Normal cell
SLC7A4,Trophectoderm cell,Embryo,Normal cell
SLC7A5,Trophectoderm cell,Embryo,Normal cell
SUN3,Trophectoderm cell,Embryo,Normal cell
SYBU,Trophectoderm cell,Embryo,Normal cell
TCF7L1,Trophectoderm cell,Embryo,Normal cell
TET2,Trophectoderm cell,Embryo,Normal cell
TMEM106C,Trophectoderm cell,Embryo,Normal cell
TMEM171,Trophectoderm cell,Embryo,Normal cell
TMPRSS13,Trophectoderm cell,Embryo,Normal cell
TMPRSS2,Trophectoderm cell,Embryo,Normal cell
TSPAN15,Trophectoderm cell,Embryo,Normal cell
VAMP8,Trophectoderm cell,Embryo,Normal cell
WNT7A,Trophectoderm cell,Embryo,Normal cell
ABHD6,Primitive endoderm cell,Embryo,Normal cell
ADD3,Primitive endoderm cell,Embryo,Normal cell
AMBN,Primitive endoderm cell,Embryo,Normal cell
AMOTL1,Primitive endoderm cell,Embryo,Normal cell
ANKRD1,Primitive endoderm cell,Embryo,Normal cell
APOA1,Primitive endoderm cell,Embryo,Normal cell
APOA2,Primitive endoderm cell,Embryo,Normal cell
BMP2,Primitive endoderm cell,Embryo,Normal cell
CACHD1,Primitive endoderm cell,Embryo,Normal cell
CAMK2D,Primitive endoderm cell,Embryo,Normal cell
CCAT1,Primitive endoderm cell,Embryo,Normal cell
CELA3A,Primitive endoderm cell,Embryo,Normal cell
CELA3B,Primitive endoderm cell,Embryo,Normal cell
CERS6,Primitive endoderm cell,Embryo,Normal cell
CMBL,Primitive endoderm cell,Embryo,Normal cell
CNIH3,Primitive endoderm cell,Embryo,Normal cell
COL18A1,Primitive endoderm cell,Embryo,Normal cell
COL4A1,Primitive endoderm cell,Embryo,Normal cell
COL4A2,Primitive endoderm cell,Embryo,Normal cell
CPN1,Primitive endoderm cell,Embryo,Normal cell
CTSE,Primitive endoderm cell,Embryo,Normal cell
DENND2C,Primitive endoderm cell,Embryo,Normal cell
DEPDC7,Primitive endoderm cell,Embryo,Normal cell
DUSP4,Primitive endoderm cell,Embryo,Normal cell
DYNLT3,Primitive endoderm cell,Embryo,Normal cell
EDEM1,Primitive endoderm cell,Embryo,Normal cell
FAM198B,Primitive endoderm cell,Embryo,Normal cell
FGG,Primitive endoderm cell,Embryo,Normal cell
FLRT3,Primitive endoderm cell,Embryo,Normal cell
FRMD6,Primitive endoderm cell,Embryo,Normal cell
FST,Primitive endoderm cell,Embryo,Normal cell
GCKR,Primitive endoderm cell,Embryo,Normal cell
GCNT3,Primitive endoderm cell,Embryo,Normal cell
GNA13,Primitive endoderm cell,Embryo,Normal cell
GPR161,Primitive endoderm cell,Embryo,Normal cell
HABP2,Primitive endoderm cell,Embryo,Normal cell
HMGCR,Primitive endoderm cell,Embryo,Normal cell
IGF1,Primitive endoderm cell,Embryo,Normal cell
ITIH5,Primitive endoderm cell,Embryo,Normal cell
KCNJ16,Primitive endoderm cell,Embryo,Normal cell
KIFAP3,Primitive endoderm cell,Embryo,Normal cell
P3H1,Primitive endoderm cell,Embryo,Normal cell
CARMIL1,Primitive endoderm cell,Embryo,Normal cell
MAP2K6,Primitive endoderm cell,Embryo,Normal cell
MARCKS,Primitive endoderm cell,Embryo,Normal cell
MTTP,Primitive endoderm cell,Embryo,Normal cell
MYL4,Primitive endoderm cell,Embryo,Normal cell
NID1,Primitive endoderm cell,Embryo,Normal cell
NID2,Primitive endoderm cell,Embryo,Normal cell
P4HA1,Primitive endoderm cell,Embryo,Normal cell
PAPSS1,Primitive endoderm cell,Embryo,Normal cell
PGM1,Primitive endoderm cell,Embryo,Normal cell
PHLDB2,Primitive endoderm cell,Embryo,Normal cell
PIK3R1,Primitive endoderm cell,Embryo,Normal cell
PITX2,Primitive endoderm cell,Embryo,Normal cell
POMC,Primitive endoderm cell,Embryo,Normal cell
PRCP,Primitive endoderm cell,Embryo,Normal cell
PROS1,Primitive endoderm cell,Embryo,Normal cell
PTK2B,Primitive endoderm cell,Embryo,Normal cell
RGS5,Primitive endoderm cell,Embryo,Normal cell
RNASE1,Primitive endoderm cell,Embryo,Normal cell
ROBO1,Primitive endoderm cell,Embryo,Normal cell
RSPO3,Primitive endoderm cell,Embryo,Normal cell
SALL1,Primitive endoderm cell,Embryo,Normal cell
SERPINE2,Primitive endoderm cell,Embryo,Normal cell
SLCO2A1,Primitive endoderm cell,Embryo,Normal cell
SP8,Primitive endoderm cell,Embryo,Normal cell
TMEM123,Primitive endoderm cell,Embryo,Normal cell
TMEM88,Primitive endoderm cell,Embryo,Normal cell
TNIP3,Primitive endoderm cell,Embryo,Normal cell
TRIM2,Primitive endoderm cell,Embryo,Normal cell
VIL1,Primitive endoderm cell,Embryo,Normal cell
VWA5A,Primitive endoderm cell,Embryo,Normal cell
AARS2,Epiblast cell,Embryo,Normal cell
ABHD12B,Epiblast cell,Embryo,Normal cell
ANKRD45,Epiblast cell,Embryo,Normal cell
APOBEC3C,Epiblast cell,Embryo,Normal cell
APOBEC3D,Epiblast cell,Embryo,Normal cell
ARGFX,Epiblast cell,Embryo,Normal cell
ASH2L,Epiblast cell,Embryo,Normal cell
ATP8B2,Epiblast cell,Embryo,Normal cell
BCOR,Epiblast cell,Embryo,Normal cell
CAMKV,Epiblast cell,Embryo,Normal cell
CAPG,Epiblast cell,Embryo,Normal cell
CASP8,Epiblast cell,Embryo,Normal cell
CBFA2T2,Epiblast cell,Embryo,Normal cell
CCDC80,Epiblast cell,Embryo,Normal cell
CFLAR,Epiblast cell,Embryo,Normal cell
CHST2,Epiblast cell,Embryo,Normal cell
CPT1A,Epiblast cell,Embryo,Normal cell
CREBL2,Epiblast cell,Embryo,Normal cell
CXCL12,Epiblast cell,Embryo,Normal cell
DND1,Epiblast cell,Embryo,Normal cell
DOCK6,Epiblast cell,Embryo,Normal cell
DPPA2,Epiblast cell,Embryo,Normal cell
DPPA4,Epiblast cell,Embryo,Normal cell
DPPA5,Epiblast cell,Embryo,Normal cell
ESRG,Epiblast cell,Embryo,Normal cell
ETV4,Epiblast cell,Embryo,Normal cell
FAM124A,Epiblast cell,Embryo,Normal cell
FAM46B,Epiblast cell,Embryo,Normal cell
FBP1,Epiblast cell,Embryo,Normal cell
FGF4,Epiblast cell,Embryo,Normal cell
GGT1,Epiblast cell,Embryo,Normal cell
GK,Epiblast cell,Embryo,Normal cell
GPRC5C,Epiblast cell,Embryo,Normal cell
GUCA1A,Epiblast cell,Embryo,Normal cell
HEY2,Epiblast cell,Embryo,Normal cell
IGSF1,Epiblast cell,Embryo,Normal cell
FAM234A,Epiblast cell,Embryo,Normal cell
LAPTM4B,Epiblast cell,Embryo,Normal cell
LDLRAP1,Epiblast cell,Embryo,Normal cell
LIM2,Epiblast cell,Embryo,Normal cell
LRP4,Epiblast cell,Embryo,Normal cell
MAN1C1,Epiblast cell,Embryo,Normal cell
MAP4K1,Epiblast cell,Embryo,Normal cell
MUC4,Epiblast cell,Embryo,Normal cell
NGEF,Epiblast cell,Embryo,Normal cell
NODAL,Epiblast cell,Embryo,Normal cell
NRBP2,Epiblast cell,Embryo,Normal cell
PBX3,Epiblast cell,Embryo,Normal cell
PIM2,Epiblast cell,Embryo,Normal cell
PITPNM2,Epiblast cell,Embryo,Normal cell
PLA2G4F,Epiblast cell,Embryo,Normal cell
PRUNE2,Epiblast cell,Embryo,Normal cell
PSORS1C2,Epiblast cell,Embryo,Normal cell
RASD1,Epiblast cell,Embryo,Normal cell
RRAD,Epiblast cell,Embryo,Normal cell
SAT1,Epiblast cell,Embryo,Normal cell
SERPINB6,Epiblast cell,Embryo,Normal cell
SH3PXD2A,Epiblast cell,Embryo,Normal cell
SHPK,Epiblast cell,Embryo,Normal cell
SLC25A12,Epiblast cell,Embryo,Normal cell
ST6GALNAC3,Epiblast cell,Embryo,Normal cell
TBC1D16,Epiblast cell,Embryo,Normal cell
TDGF1P3,Epiblast cell,Embryo,Normal cell
TRIM56,Epiblast cell,Embryo,Normal cell
UBTD1,Epiblast cell,Embryo,Normal cell
UNC5B,Epiblast cell,Embryo,Normal cell
UPP1,Epiblast cell,Embryo,Normal cell
USP28,Epiblast cell,Embryo,Normal cell
VASH2,Epiblast cell,Embryo,Normal cell
VENTX,Epiblast cell,Embryo,Normal cell
VSNL1,Epiblast cell,Embryo,Normal cell
WNT3,Epiblast cell,Embryo,Normal cell
ZSCAN10,Epiblast cell,Embryo,Normal cell
ZYG11A,Epiblast cell,Embryo,Normal cell
ANP32E,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
APOLD1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
ATAD2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
AURKB,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
BTG3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
BUB1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
BUB3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
C19orf48,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
C21orf58,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CCNB1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CCNB2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDC20,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDCA3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDCA4,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDCA5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDCA7,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDK1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDKN3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CDON,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CENPF,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CENPK,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CENPM,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CENPN,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CENPU,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CENPW,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CHL1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CKAP2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CKAP2L,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CKS1B,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CKS2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CLIC1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CLSPN,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CNTLN,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
CREB5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
DACH1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
DEPDC1B,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
DHFR,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
DLGAP5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
DTYMK,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
DUT,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
EFNB1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
EMX2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SINHCAF,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PIMREG,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
FBXO5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
FEN1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
GINS2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
GLI3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
GMNN,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
GNG2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
GNG5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
GTSE1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
H2AFV,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
H2AFX,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
H2AFZ,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
HAT1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
HELLS,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
HIST1H4C,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
HJURP,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
HMGN2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
HSPB1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
IGF2BP1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
ITGB3BP,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PCLAF,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KIF11,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KIF15,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KIF22,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KIF23,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KIF2C,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KNSTRN,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
KPNA2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
LDHA,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
LMO4,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MAD2L1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MAPT,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MCM2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MCM3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MCM4,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MCM5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MCM6,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MCM7,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MDK,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MELK,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MFAP2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MIS18BP1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
MYT1L,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
NDC80,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
NRXN1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
NSG1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
NTM,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
NUF2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
NUSAP1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
OIP5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
ORC6,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
OTX1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PAICS,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PBK,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PCNA,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PCSK1N,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PHGDH,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PLPP3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PRC1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PRR11,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
PTTG1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RAB3A,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RBFOX2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RCN1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RNASEH2A,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RPA3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RPS27L,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RRM1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RRM2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RTN1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
RUNX1T1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SFRP1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SGO1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SGO2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SHTN1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SLA,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SMC2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SMC4,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SNAP25,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SNRPB,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SOX3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SPAG5,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SPC25,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
STMN2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
SYT1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TACC3,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TGIF1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TMEM98,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TMPO,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TOP2A,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TPX2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TUBA1B,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
TUBB4B,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
UBE2C,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
UBE2T,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
UCP2,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
UHRF1,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
WDR34,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
ZFHX4,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
ZWINT,Neural progenitor cell,Embryonic prefrontal cortex,Normal cell
ARX,Neuron,Embryonic prefrontal cortex,Normal cell
CSRP2,Neuron,Embryonic prefrontal cortex,Normal cell
IGFBPL1,Neuron,Embryonic prefrontal cortex,Normal cell
NEUROD2,Neuron,Embryonic prefrontal cortex,Normal cell
PLS3,Neuron,Embryonic prefrontal cortex,Normal cell
PPP2R2B,Neuron,Embryonic prefrontal cortex,Normal cell
RBFOX1,Neuron,Embryonic prefrontal cortex,Normal cell
CELF4,Interneuron,Embryonic prefrontal cortex,Normal cell
DLX1,Interneuron,Embryonic prefrontal cortex,Normal cell
DLX2,Interneuron,Embryonic prefrontal cortex,Normal cell
FDFT1,Interneuron,Embryonic prefrontal cortex,Normal cell
INA,Interneuron,Embryonic prefrontal cortex,Normal cell
LHX6,Interneuron,Embryonic prefrontal cortex,Normal cell
NRXN3,Interneuron,Embryonic prefrontal cortex,Normal cell
PDE4DIP,Interneuron,Embryonic prefrontal cortex,Normal cell
PPP1R17,Interneuron,Embryonic prefrontal cortex,Normal cell
PTPRZ1,Interneuron,Embryonic prefrontal cortex,Normal cell
AASS,Astrocyte,Embryonic prefrontal cortex,Normal cell
ABCD3,Astrocyte,Embryonic prefrontal cortex,Normal cell
ABHD3,Astrocyte,Embryonic prefrontal cortex,Normal cell
ACSBG1,Astrocyte,Embryonic prefrontal cortex,Normal cell
ADGRB1,Astrocyte,Embryonic prefrontal cortex,Normal cell
ADORA2B,Astrocyte,Embryonic prefrontal cortex,Normal cell
AIF1L,Astrocyte,Embryonic prefrontal cortex,Normal cell
AK4,Astrocyte,Embryonic prefrontal cortex,Normal cell
ALDH6A1,Astrocyte,Embryonic prefrontal cortex,Normal cell
ANOS1,Astrocyte,Embryonic prefrontal cortex,Normal cell
APBB2,Astrocyte,Embryonic prefrontal cortex,Normal cell
